"행정구역","2022년12월_전체세대","2022년12월_1인세대","2022년12월_2인세대","2022년12월_3인세대","2022년12월_4인세대","2022년12월_5인세대","2022년12월_6인세대","2022년12월_7인세대","2022년12월_8인세대","2022년12월_9인세대","2022년12월_10인이상세대"
"전국  (1000000000)","23,705,814","9,724,256","5,744,486","4,010,553","3,250,715","776,259","151,290","34,162","8,817","2,760","2,516"
"서울특별시  (1100000000)","4,446,296","1,952,606","987,812","746,253","593,592","129,242","27,546","6,433","1,815","580","417"
"부산광역시  (2600000000)","1,555,867","635,133","402,129","267,912","196,031","43,712","8,358","1,815","472","164","141"
"대구광역시  (2700000000)","1,070,873","414,133","267,789","194,288","154,472","32,939","5,688","1,151","254","69","90"
"인천광역시  (2800000000)","1,322,632","503,860","319,543","245,194","197,480","45,506","8,449","1,848","480","137","135"
"광주광역시  (2900000000)","652,355","265,358","154,416","110,265","93,042","24,295","3,924","759","178","51","67"
"대전광역시  (3000000000)","673,429","284,482","159,304","111,210","91,152","21,945","4,090","899","217","58","72"
"울산광역시  (3100000000)","486,143","174,179","121,001","93,536","78,244","15,790","2,683","518","123","36","33"
"세종특별자치시  (3600000000)","159,386","55,780","34,018","29,844","30,611","7,555","1,229","258","51","27","13"
"경기도  (4100000000)","5,913,694","2,197,601","1,370,472","1,096,733","967,804","223,769","43,282","9,990","2,645","835","563"
"강원도  (4200000000)","755,481","336,973","200,478","110,982","79,437","21,501","4,606","1,077","272","76","79"
"충청북도  (4300000000)","771,848","340,801","197,428","114,939","88,817","23,868","4,543","1,019","266","83","84"
"충청남도  (4400000000)","1,019,093","446,783","259,248","151,116","120,333","32,860","6,620","1,507","389","117","120"
"전라북도  (4500000000)","855,849","378,039","223,129","123,846","94,062","28,817","5,926","1,398","345","110","177"
"전라남도  (4600000000)","907,710","422,036","238,247","121,138","89,956","28,337","5,941","1,441","353","123","138"
"경상북도  (4700000000)","1,286,873","575,394","344,940","188,926","134,999","33,923","6,614","1,459","340","107","171"
"경상남도  (4800000000)","1,516,930","608,679","391,936","255,241","201,625","48,338","8,586","1,782","431","131","181"
"제주특별자치도  (5000000000)","311,355","132,419","72,596","49,130","39,058","13,862","3,205","808","186","56","35"
